task_id,oracle_bucket,baseline_selected_length,route2_primary_selected_length,route2_selected_length,route2_rescue_length,route2_selected_minus_oracle_length,route2_abs_selected_minus_oracle_length,route2_primary_stop_reason,route2_final_source,route2_trace_top1_last,route2_trace_top1_median,route2_trace_confidence_max,route2_trace_max_remaining_plateau_steps,route2_best_len,route2_best_long_len,route2_long_score_max,route2_long_ratio,classes,pairwise,oracle_length,baseline_passed,route2_passed,route2_triggered,rescue_len_ge_oracle
SingleLineInfilling/HumanEval/32/L6,17-24,13,13,13,,-7,7,global_gap_early_commit,primary,0.9453125,0.96875,0.98046875,4.0,9.0,13.0,1.134477750625492,0.9982543635126266,tie_fail;missed_failed_long;unchanged_fail,tie_fail,20,False,False,False,
SingleLineInfilling/HumanEval/39/L5,17-24,13,13,13,,-11,11,global_gap_early_commit,primary,0.98046875,0.95703125,0.9921875,4.0,13.0,13.0,1.148146157259534,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,24,False,False,False,
SingleLineInfilling/HumanEval/40/L3,17-24,14,14,14,,-4,4,global_gap_early_commit,primary,0.625,0.77734375,0.9453125,4.0,14.0,14.0,1.080039700651459,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,18,False,False,False,
SingleLineInfilling/HumanEval/47/L4,25+,9,9,9,,-20,20,global_gap_early_commit,primary,0.97265625,0.921875,0.98828125,7.0,9.0,20.0,0.7807973048655139,0.8073539724171013,tie_fail;missed_failed_long;unchanged_fail,tie_fail,29,False,False,False,
SingleLineInfilling/HumanEval/48/L1,17-24,6,6,6,,-11,11,global_gap_early_commit,primary,0.765625,0.94140625,0.96484375,10.0,6.0,13.0,1.0205743620084746,0.9499452843389378,tie_fail;missed_failed_long;unchanged_fail,tie_fail,17,False,False,False,
SingleLineInfilling/HumanEval/50/L0,25+,12,12,12,,-23,23,global_gap_early_commit,primary,0.86328125,0.91015625,0.95703125,5.0,5.0,20.0,0.6311834500409843,0.8837904002470955,tie_fail;missed_failed_long;unchanged_fail,tie_fail,35,False,False,False,
SingleLineInfilling/HumanEval/57/L0,17-24,6,6,6,,-11,11,global_gap_early_commit,primary,0.92578125,0.98046875,0.98828125,10.0,6.0,13.0,0.4032179957042411,0.36786651330440423,tie_fail;missed_failed_long;unchanged_fail,tie_fail,17,False,False,False,
SingleLineInfilling/HumanEval/63/L6,25+,13,13,13,,-13,13,global_gap_early_commit,primary,0.69140625,0.7890625,0.92578125,4.0,10.0,13.0,0.5490143331340233,0.9600933537104362,tie_fail;missed_failed_long;unchanged_fail,tie_fail,26,False,False,False,
SingleLineInfilling/HumanEval/64/L2,17-24,5,5,5,,-15,15,global_gap_early_commit,primary,0.90625,0.90625,0.9453125,12.0,5.0,16.0,0.7150541504749109,0.7072498020859381,tie_fail;missed_failed_long;unchanged_fail,tie_fail,20,False,False,False,
SingleLineInfilling/HumanEval/65/L4,17-24,3,3,3,,-16,16,global_gap_early_commit,primary,0.6484375,0.6484375,0.84765625,21.0,3.0,14.0,0.510272994163719,0.5635799580494738,tie_fail;missed_failed_long;unchanged_fail,tie_fail,19,False,False,False,
